product,sweet almond oil,olive oil pomace,coconut oil,palm kernel oil,pumpkin seed oil,yellow beeswax,candelilla wax,shea butter,mango butter,cocoa butter,spearmint eo,ginger eo,rosemary eo,grapefruit eo,chamomile eo
mean,20.65762891,13.38992165,21.06582477,20.11158914,50.20766203,36.6687532,43.41823016,23.78425367,49.9025313,35.97265195,194.0242187,453.3487847,203.7168111,322.8971012,2368.1245
stdDev,10.45019761,1.033995322,14.42671022,3.189950122,8.172746739,10.38531645,17.70961497,11.24043052,34.31952041,13.09196173,116.2398288,243.6250972,137.6096054,261.3108373,2659.495955
% stdDev,50.59%,7.72%,68.48%,15.86%,16.28%,28.32%,40.79%,47.26%,68.77%,36.39%,59.91%,53.74%,67.55%,80.93%,112.30%
